ticker,tenor_months,target_date,expiration,fetched_at_utc,underlying_last,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,mid,spread_abs,spread_pct,adjusted_mid
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385371,2024-11-11,5050.0,,1314.9,1351.2,,,0,4,0.210871,True,REGULAR,USD,call,1333.0500000000002,36.29999999999996,0.0272307865421401,1333.0500000000002
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404837,2024-12-31,5100.0,,1277.8,1313.7,,,0,3268,0.208878,True,REGULAR,USD,call,1295.75,35.90000000000009,0.0277059617981864,1295.75
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385372,2024-08-01,5150.0,,1241.2,1276.5,,,0,35,0.206936,True,REGULAR,USD,call,1258.85,35.299999999999955,0.0280414664177622,1258.85
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404838,2024-12-11,5200.0,,1204.8,1239.7,,,0,2789,0.204994,True,REGULAR,USD,call,1222.25,34.90000000000009,0.0285538965023522,1222.25
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385373,2024-11-13,5250.0,,1169.0,1203.2,,,0,5,0.203111,True,REGULAR,USD,call,1186.1,34.200000000000045,0.0288339937610657,1186.1
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404839,2024-12-27,5300.0,,1133.1,1166.9,,,0,3162,0.201114,True,REGULAR,USD,call,1150.0,33.80000000000018,0.0293913043478262,1152.0714285714284
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385374,2024-09-20,5350.0,,1115.5,1126.7,,,0,76,0.201887,True,REGULAR,USD,call,1121.1,11.200000000000044,0.00999018820801,1118.042857142857
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404840,2024-12-20,5400.0,,1080.3,1091.3,,,0,1048,0.199892,True,REGULAR,USD,call,1085.8,11.0,0.0101307791490145,1084.0142857142857
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385375,2024-12-31,5450.0,,1045.3,1056.3,,,0,94,0.19788,True,REGULAR,USD,call,1050.8,11.0,0.0104682146935668,1049.9857142857145
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404841,2024-12-31,5500.0,,1010.7,1021.6,,,0,3312,0.195869,True,REGULAR,USD,call,1016.15,10.899999999999975,0.0107267627810854,1015.957142857143
