obs_freq,obs_tenor_months,maturity_years,n_observations,coupon_rate,coupon_rate_pct,coupon_rate_pa_pct,price,price_pct,price_diff,price_diff_bps,survival_probability,terminal_par_contribution,terminal_put_contribution,expected_expiry_years,expected_expiry_months
quarterly,3,0.25,1,0.01908626,1.9086260000000002,7.634504000000001,1.000000003965716,100.0000003965716,3.965715977827244e-09,3.9657159778272444e-05,0.9999999999983952,0.9675612109772901,0.013583069242638485,0.25,3.0
quarterly,3,0.5,2,0.02461403,2.461403,9.845612,1.0000000010547285,100.00000010547285,1.054728526739268e-09,1.0547285267392681e-05,0.36067995967938693,0.29907741591909726,0.036343097627733766,0.34016998994040015,4.082039879284801
quarterly,3,0.75,3,0.02670627,2.670627,10.682508,1.0000000044948425,100.00000044948425,4.494842498203866e-09,4.494842498203866e-05,0.21891382142059243,0.1369544782644074,0.05165849578761436,0.3948984443777668,4.738781332533201
quarterly,3,1.0,4,0.02742142,2.742142,10.968568,0.9999999943814614,99.99999943814613,-5.618538634344361e-09,-5.618538634344361e-05,0.1626235631643671,0.06971446207152934,0.05925150103207653,0.43555430457068517,5.226651654848222
quarterly,3,1.25,5,0.02727404,2.727404,10.909616,0.9999999965162116,99.99999965162117,-3.483788368896512e-09,-3.483788368896512e-05,0.133014994249598,0.03647619826444308,0.06109836530806056,0.4688080099907028,5.625696119888434
quarterly,3,1.5,6,0.0267436,2.67436,10.69744,1.0000000053284106,100.00000053284106,5.328410601634914e-09,5.328410601634914e-05,0.11570579166650967,0.019983144204390575,0.0593632620852426,0.49773435284349155,5.972812234121898
quarterly,3,1.75,7,0.02608444,2.608444,10.433776,0.9999999978039658,99.99999978039658,-2.1960342433402502e-09,-2.1960342433402502e-05,0.10348783309912601,0.010871783600610406,0.05587195453691573,0.5236060971170788,6.283273165404946
quarterly,3,2.0,8,0.02540501,2.540501,10.162004,0.9999999900674198,99.99999900674197,-9.932580202764996e-09,-9.932580202764996e-05,0.09434074824601862,0.00589073186789814,0.0516073911975374,0.5471908952527609,6.5662907430331305
quarterly,3,2.25,9,0.02475552,2.475552,9.902208,0.9999999926665227,99.99999926665227,-7.333477269888533e-09,-7.333477269888533e-05,0.08715260990948398,0.0031841711752543327,0.04717526775744266,0.5689783945838158,6.82774073500579
quarterly,3,2.5,10,0.02415619,2.415619,9.662476,1.000000010771377,100.0000010771377,1.0771376901530516e-08,0.00010771376901530516,0.08129514386796374,0.0017182222878453317,0.04290481947037902,0.5893011450018281,7.071613740021936
